Municipality,Ward,VotingDistrict,VotingStationName,RegisteredVoters,SpoiltVotes,TotalValidVotes,PartyName,BallotType
EKU,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,16,468,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,16,364,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,16,125,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700001,32910230,OLIFANTFONTEIN COMMUNITY HALL,1982,16,83,ACTIONSA,Ward
EKU,Ward 79700001,32910331,MIDSTREAM COLLEGE,3720,44,1301,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700001,32910331,MIDSTREAM COLLEGE,3720,44,1012,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700001,32910331,MIDSTREAM COLLEGE,3720,44,347,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700001,32910331,MIDSTREAM COLLEGE,3720,44,231,ACTIONSA,Ward
EKU,Ward 79700001,32910375,HOSANNA KINGDOM CHURCH,2272,19,557,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700001,32910375,HOSANNA KINGDOM CHURCH,2272,19,433,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700001,32910375,HOSANNA KINGDOM CHURCH,2272,19,149,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700001,32910375,HOSANNA KINGDOM CHURCH,2272,19,99,ACTIONSA,Ward
EKU,Ward 79700002,32890080,ASSEMBLIES OF GOD.,1831,9,260,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700002,32890080,ASSEMBLIES OF GOD.,1831,9,202,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700002,32890080,ASSEMBLIES OF GOD.,1831,9,69,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700002,32890080,ASSEMBLIES OF GOD.,1831,9,46,ACTIONSA,Ward
EKU,Ward 79700002,32890103,ENTSHONALANGA PRIMARY SCHOOL,3343,24,711,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700002,32890103,ENTSHONALANGA PRIMARY SCHOOL,3343,24,553,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700002,32890103,ENTSHONALANGA PRIMARY SCHOOL,3343,24,189,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700002,32890103,ENTSHONALANGA PRIMARY SCHOOL,3343,24,126,ACTIONSA,Ward
EKU,Ward 79700002,32890114,TLAMATLAMA PRIMARY SCHOOL,2460,19,563,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700002,32890114,TLAMATLAMA PRIMARY SCHOOL,2460,19,438,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700002,32890114,TLAMATLAMA PRIMARY SCHOOL,2460,19,150,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700002,32890114,TLAMATLAMA PRIMARY SCHOOL,2460,19,100,ACTIONSA,Ward
EKU,Ward 79700003,32890068,WINNIE MANDELA SECONDARY SCHOOL.,5137,31,922,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700003,32890068,WINNIE MANDELA SECONDARY SCHOOL.,5137,31,717,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700003,32890068,WINNIE MANDELA SECONDARY SCHOOL.,5137,31,246,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700003,32890068,WINNIE MANDELA SECONDARY SCHOOL.,5137,31,164,ACTIONSA,Ward
EKU,Ward 79700003,32890079,WINNIE MANDELA PRIMARY SCHOOL,3943,21,617,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700003,32890079,WINNIE MANDELA PRIMARY SCHOOL,3943,21,480,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700003,32890079,WINNIE MANDELA PRIMARY SCHOOL,3943,21,165,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700003,32890079,WINNIE MANDELA PRIMARY SCHOOL,3943,21,110,ACTIONSA,Ward
EKU,Ward 79700003,32890091,REAGILE PRIMARY SCHOOL,4491,28,826,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700003,32890091,REAGILE PRIMARY SCHOOL,4491,28,642,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700003,32890091,REAGILE PRIMARY SCHOOL,4491,28,220,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700003,32890091,REAGILE PRIMARY SCHOOL,4491,28,147,ACTIONSA,Ward
EKU,Ward 79700004,32890192,MARHULANA PRIMARY SCHOOL,2336,19,562,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700004,32890192,MARHULANA PRIMARY SCHOOL,2336,19,437,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700004,32890192,MARHULANA PRIMARY SCHOOL,2336,19,150,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700004,32890192,MARHULANA PRIMARY SCHOOL,2336,19,100,ACTIONSA,Ward
EKU,Ward 79700004,32890204,SHUKUMANI PRIMARY SCHOOL,2826,21,614,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700004,32890204,SHUKUMANI PRIMARY SCHOOL,2826,21,478,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700004,32890204,SHUKUMANI PRIMARY SCHOOL,2826,21,164,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700004,32890204,SHUKUMANI PRIMARY SCHOOL,2826,21,109,ACTIONSA,Ward
EKU,Ward 79700004,32890215,ECALENI PRIMARY SCHOOL,1724,14,411,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700004,32890215,ECALENI PRIMARY SCHOOL,1724,14,320,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700004,32890215,ECALENI PRIMARY SCHOOL,1724,14,110,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700004,32890215,ECALENI PRIMARY SCHOOL,1724,14,73,ACTIONSA,Ward
