ward_id,ward_num,metro,province,locality,winner,turnout,margin,enp,deprivation_score,registered,valid,share_ANC,share_DA,share_EFF,share_ActionSA,share_MK,tent_count,lat,lng
19100095,95,City of Cape Town,Western Cape,Khayelitsha Site B,ANC,0.382,0.280,2.85,0.74,19450,7430,0.562,0.125,0.221,0.015,0.000,1,-34.032,18.672
19100077,77,City of Cape Town,Western Cape,Mitchells Plain / Tafelsig,DA,0.445,0.220,3.42,0.58,21300,9480,0.142,0.485,0.115,0.020,0.000,0,-34.041,18.625
19100115,115,City of Cape Town,Western Cape,Sea Point / Camps Bay,DA,0.684,0.620,1.84,0.12,18920,12940,0.045,0.825,0.032,0.040,0.000,0,-33.921,18.384
19100057,57,City of Cape Town,Western Cape,Rondebosch / Rosebank,DA,0.712,0.580,2.14,0.15,16840,11990,0.082,0.765,0.055,0.042,0.000,0,-33.962,18.471
19100040,40,City of Cape Town,Western Cape,Gugulethu NY1 / Kanana,ANC,0.416,0.310,2.92,0.71,17980,7480,0.582,0.095,0.245,0.018,0.000,1,-33.982,18.582
19100008,8,City of Cape Town,Western Cape,Somerset West / Strand,DA,0.655,0.480,2.25,0.22,17500,11460,0.110,0.685,0.065,0.045,0.000,0,-34.082,18.845
10204005,5,Stellenbosch,Western Cape,Stellenbosch Central / Idas Valley,DA,0.621,0.450,2.38,0.24,15400,9560,0.125,0.645,0.110,0.035,0.000,0,-33.932,18.860
10204012,12,Stellenbosch,Western Cape,Kayamandi Township,ANC,0.435,0.320,2.78,0.68,14200,6170,0.592,0.082,0.275,0.010,0.000,1,-33.921,18.845
10203008,8,Drakenstein,Western Cape,Paarl Central / Mbekweni,ANC,0.465,0.240,2.65,0.64,16100,7480,0.545,0.225,0.175,0.015,0.000,0,-33.725,18.966
10404018,18,George,Western Cape,Thembalethu / Pacaltsdorp,ANC,0.482,0.210,2.88,0.62,15800,7610,0.495,0.245,0.195,0.012,0.000,1,-33.985,22.472
