VotingDistrict,ward_id,metro,station,station_type,registered,turnout,tent,pred_turnout,gap_pp,low_turnout_flag
32910230,79700001,Ekurhuleni,OLIFANTFONTEIN COMMUNITY HALL,Hall/Centre,1982,0.5323,0,0.5038,2.85,0
32910331,79700001,Ekurhuleni,MIDSTREAM COLLEGE,School,3720,0.789,0,0.5038,28.52,0
32910375,79700001,Ekurhuleni,HOSANNA KINGDOM CHURCH,Church,2272,0.5533,0,0.5038,4.95,0
32890080,79700002,Ekurhuleni,ASSEMBLIES OF GOD.,Other,1831,0.32,0,0.4072,-8.72,1
32890103,79700002,Ekurhuleni,ENTSHONALANGA PRIMARY SCHOOL,School,3343,0.4795,0,0.4072,7.23,0
32890114,79700002,Ekurhuleni,TLAMATLAMA PRIMARY SCHOOL,School,2460,0.5167,0,0.4072,10.95,0
32890068,79700003,Ekurhuleni,WINNIE MANDELA SECONDARY SCHOOL.,School,5137,0.4049,0,0.4036,0.13,0
32890079,79700003,Ekurhuleni,WINNIE MANDELA PRIMARY SCHOOL,School,3943,0.3533,0,0.4036,-5.03,1
32890091,79700003,Ekurhuleni,REAGILE PRIMARY SCHOOL,School,4491,0.4148,0,0.4036,1.12,0
32890192,79700004,Ekurhuleni,MARHULANA PRIMARY SCHOOL,School,2336,0.5428,0,0.4229,11.99,0
32890204,79700004,Ekurhuleni,SHUKUMANI PRIMARY SCHOOL,School,2826,0.4904,0,0.4229,6.75,0
32890215,79700004,Ekurhuleni,ECALENI PRIMARY SCHOOL,School,1724,0.5383,0,0.4229,11.54,0
32890158,79700005,Ekurhuleni,BOITUMELONG SENIOR SECONDARY  SCHOOL,School,2665,0.4762,0,0.4108,6.54,0
32890169,79700005,Ekurhuleni,THLAKANANG PRIMARY SCHOOL,School,3059,0.4665,0,0.4108,5.57,0
32890259,79700005,Ekurhuleni,SEDIBENG PRIMARY SCHOOL,School,1958,0.5449,0,0.4108,13.41,0
32890293,79700006,Ekurhuleni,MVELAPHANDA PRIMARY SCHOOL,School,2452,0.4629,0,0.4204,4.25,0
32890338,79700006,Ekurhuleni,TEMBISA HIGH SCHOOL,School,1293,0.4764,0,0.4204,5.6,0
