ward_id,metro,registered,valid,spoilt,n_vd,turnout,spoilt_rate,winner,winner_share,margin,enp,share_ANC,share_DA,share_EFF,share_ActionSA,tent_share,deprivation_score,pred_turnout,ward_gap_pp,risk_tier,forecast_2026,forecast_lo,forecast_hi,ward_num,top_vds
79700001,Ekurhuleni,16935,11911,161,9,0.7128,0.0133,DA,0.592,0.3508,2.3407,0.2412,0.592,0.1349,0.0,0.0262,0.4407,0.5038,20.9054,Low risk,0.6989,0.6469,0.7509,1,"[{'VotingDistrict': 32910230, 'station': 'OLIFANTFONTEIN COMMUNITY HALL', 'station_type': 'Hall/Centre', 'registered': 1982, 'turnout': 0.5322906155398587, 'tent': 0}, {'VotingDistrict': 32910331, 'station': 'MIDSTREAM COLLEGE', 'station_type': 'School', 'registered': 3720, 'turnout': 0.7889784946236559, 'tent': 0}, {'VotingDistrict': 32910375, 'station': 'HOSANNA KINGDOM CHURCH', 'station_type': 'Church', 'registered': 2272, 'turnout': 0.5532570422535211, 'tent': 0}]"
79700002,Ekurhuleni,14109,6348,137,6,0.4596,0.0211,ANC,0.544,0.2109,2.4144,0.544,0.0695,0.333,0.0,0.0,0.6574,0.4072,5.2398,Low risk,0.4438,0.3918,0.4958,2,"[{'VotingDistrict': 32890080, 'station': 'ASSEMBLIES OF GOD.', 'station_type': 'Other', 'registered': 1831, 'turnout': 0.3200436919716002, 'tent': 0}, {'VotingDistrict': 32890103, 'station': 'ENTSHONALANGA PRIMARY SCHOOL', 'station_type': 'School', 'registered': 3343, 'turnout': 0.4795094226742447, 'tent': 0}, {'VotingDistrict': 32890114, 'station': 'TLAMATLAMA PRIMARY SCHOOL', 'station_type': 'School', 'registered': 2460, 'turnout': 0.5166666666666667, 'tent': 0}]"
79700003,Ekurhuleni,14856,5728,227,4,0.4008,0.0381,ANC,0.4804,0.0237,2.2629,0.4804,0.048,0.4567,0.0,0.0,0.6797,0.4036,-0.2738,Medium risk,0.3985,0.3465,0.4505,3,"[{'VotingDistrict': 32890068, 'station': 'WINNIE MANDELA SECONDARY SCHOOL.', 'station_type': 'School', 'registered': 5137, 'turnout': 0.40490558691843487, 'tent': 0}, {'VotingDistrict': 32890079, 'station': 'WINNIE MANDELA PRIMARY SCHOOL', 'station_type': 'School', 'registered': 3943, 'turnout': 0.3532843012934314, 'tent': 0}, {'VotingDistrict': 32890091, 'station': 'REAGILE PRIMARY SCHOOL', 'station_type': 'School', 'registered': 4491, 'turnout': 0.4148296593186373, 'tent': 0}]"
79700004,Ekurhuleni,11875,5920,136,5,0.51,0.0225,ANC,0.7316,0.5698,1.7631,0.7316,0.0662,0.1618,0.0,0.0,0.6637,0.4229,8.7075,Low risk,0.5175,0.4655,0.5695,4,"[{'VotingDistrict': 32890192, 'station': 'MARHULANA PRIMARY SCHOOL', 'station_type': 'School', 'registered': 2336, 'turnout': 0.5428082191780822, 'tent': 0}, {'VotingDistrict': 32890204, 'station': 'SHUKUMANI PRIMARY SCHOOL', 'station_type': 'School', 'registered': 2826, 'turnout': 0.49044585987261147, 'tent': 0}, {'VotingDistrict': 32890215, 'station': 'ECALENI PRIMARY SCHOOL', 'station_type': 'School', 'registered': 1724, 'turnout': 0.5382830626450116, 'tent': 0}]"
79700005,Ekurhuleni,12413,5886,117,6,0.4836,0.0195,ANC,0.5906,0.2963,2.2623,0.5906,0.0686,0.2943,0.0,0.0,0.6538,0.4108,7.2825,Low risk,0.4656,0.4136,0.5176,5,"[{'VotingDistrict': 32890158, 'station': 'BOITUMELONG SENIOR SECONDARY  SCHOOL', 'station_type': 'School', 'registered': 2665, 'turnout': 0.47617260787992494, 'tent': 0}, {'VotingDistrict': 32890169, 'station': 'THLAKANANG PRIMARY SCHOOL', 'station_type': 'School', 'registered': 3059, 'turnout': 0.466492317750899, 'tent': 0}, {'VotingDistrict': 32890259, 'station': 'SEDIBENG PRIMARY SCHOOL', 'station_type': 'School', 'registered': 1958, 'turnout': 0.5449438202247191, 'tent': 0}]"
79700006,Ekurhuleni,11995,5734,156,6,0.491,0.0265,ANC,0.7183,0.5326,1.8012,0.7183,0.0586,0.1857,0.0,0.0,0.6721,0.4204,7.0654,Low risk,0.4728,0.4208,0.5248,6,"[{'VotingDistrict': 32890293, 'station': 'MVELAPHANDA PRIMARY SCHOOL', 'station_type': 'School', 'registered': 2452, 'turnout': 0.46288743882544864, 'tent': 0}, {'VotingDistrict': 32890338, 'station': 'TEMBISA HIGH SCHOOL', 'station_type': 'School', 'registered': 1293, 'turnout': 0.47641144624903325, 'tent': 0}, {'VotingDistrict': 32890349, 'station': 'CHILD ACADEMY EDUCARE CENTRE', 'station_type': 'School', 'registered': 1768, 'turnout': 0.5090497737556561, 'tent': 0}]"
79700007,Ekurhuleni,12336,6239,106,6,0.5143,0.0167,ANC,0.6137,0.368,2.231,0.6137,0.0987,0.2457,0.0,0.0,0.6359,0.4171,9.7248,Low risk,0.5226,0.4706,0.5746,7,"[{'VotingDistrict': 32890305, 'station': 'THUTO KE MATLA COMPREHENSIVE SCHOOL', 'station_type': 'School', 'registered': 2170, 'turnout': 0.4751152073732719, 'tent': 0}, {'VotingDistrict': 32890316, 'station': 'TRANSVAAL BASOTHO LUTHERN CHURCH', 'station_type': 'Church', 'registered': 3050, 'turnout': 0.4763934426229508, 'tent': 0}, {'VotingDistrict': 32890327, 'station': 'BERTHARRY ENGLISH PRIVATE SCHOOL', 'station_type': 'School', 'registered': 3477, 'turnout': 0.455277538107564, 'tent': 0}]"
79700008,Ekurhuleni,15122,7395,240,6,0.5049,0.0314,ANC,0.5881,0.314,2.3239,0.5881,0.0738,0.2741,0.0,0.0,0.6426,0.4111,9.376,Low risk,0.5013,0.4493,0.5533,8,"[{'VotingDistrict': 32890260, 'station': 'EMANGWENI PRIMARY SCHOOL', 'station_type': 'School', 'registered': 3430, 'turnout': 0.4364431486880466, 'tent': 0}, {'VotingDistrict': 32890271, 'station': 'UNITED CONGREGATIONAL CHURCH OF S.A.', 'station_type': 'Church', 'registered': 3218, 'turnout': 0.4257302672467371, 'tent': 0}, {'VotingDistrict': 32890709, 'station': 'MUNICIPAL BUILDING ESSELENPARK EXT. 1', 'station_type': 'Other', 'registered': 4138, 'turnout': 0.4900918318028033, 'tent': 0}]"
79700009,Ekurhuleni,11767,5102,92,4,0.4414,0.0177,ANC,0.6105,0.3499,2.2243,0.6105,0.0849,0.2607,0.0,0.0,0.6717,0.4148,2.6647,Low risk,0.4211,0.3691,0.4731,9,"[{'VotingDistrict': 32890361, 'station': 'SEOTLOANA PRIMARY SCHOOL', 'station_type': 'School', 'registered': 4042, 'turnout': 0.4292429490351311, 'tent': 0}, {'VotingDistrict': 32890372, 'station': 'BULAMEHLO CREHCHE', 'station_type': 'Other', 'registered': 2957, 'turnout': 0.4010821778829895, 'tent': 0}, {'VotingDistrict': 32890383, 'station': 'GEREFORMEERDE KERK TEMBISA WEST', 'station_type': 'Church', 'registered': 1743, 'turnout': 0.5048766494549627, 'tent': 0}]"
79700010,Ekurhuleni,12049,5929,175,4,0.5066,0.0287,ANC,0.6556,0.4238,2.0449,0.6556,0.0521,0.2317,0.0,0.0,0.6573,0.414,9.2582,Low risk,0.4995,0.4475,0.5515,10,"[{'VotingDistrict': 32890394, 'station': 'BOJELONG PRIMARY SCHOOL', 'station_type': 'School', 'registered': 3525, 'turnout': 0.5163120567375886, 'tent': 0}, {'VotingDistrict': 32890417, 'station': 'WELAMLAMBO PRIMARY SCHOOL', 'station_type': 'School', 'registered': 1760, 'turnout': 0.43011363636363636, 'tent': 0}, {'VotingDistrict': 32900150, 'station': 'KHATLAMPING PRIMARY SCHOOL', 'station_type': 'School', 'registered': 4128, 'turnout': 0.5266472868217055, 'tent': 0}]"
